group_a,group_b,group_c,group_d
118,126,108,93
103,89,89,99
125,90,114,91
107,101,116,110
111,102,126,80
96,74,104,113
104,93,113,111
97,101,96,115
96,66,69,98
114,120,121,74
96,108,109,96
75,97,102,80
114,98,107,83
107,105,122,102
87,119,104,60
117,92,107,91
117,113,108,82
114,81,137,90
117,104,107,97
112,108,116,101
107,83,98,89
133,102,132,89
94,105,108,117
91,111,114,91
118,102,82,104
110,107,93,104
117,103,89,102
86,89,90,128
143,89,86,106
83,110,91,111
106,71,99,79
86,110,98,92
98,120,83,97
126,85,93,101
109,111,114,106
91,83,96,110
112,122,95,93
120,120,113,93
108,102,103,106
111,84,81,108
107,118,107,85
98,100,85,83
89,100,116,108
113,114,85,94
117,81,107,79
81,109,125,87
113,69,126,113
112,97,123,112
84,95,122,111
115,106,124,111
96,116,115,79
93,109,114,116
128,114,93,104
115,98,93,84
138,90,114,116
121,92,107,111
87,98,107,103
112,91,84,103
110,81,131,112
79,85,91,68
100,86,108,54
84,102,127,80
115,93,112,86
93,112,106,119
108,76,115,81
130,89,82,84
107,110,90,91
106,75,117,96
106,110,108,116
101,90,115,125
117,96,113,99
93,94,108,58
94,107,104,102
103,108,103,77
112,95,90,98
98,96,110,100
103,96,114,90
70,114,92,106
139,93,101,109
94,95,72,114
110,117,109,102
105,141,94,102
122,115,122,112
94,95,90,103
94,86,102,98
105,100,86,96
129,121,119,85
110,103,103,97
112,66,110,110
97,99,96,131
109,96,90,92
121,111,110,79
106,110,96,115
118,105,69,122
131,110,85,95
88,91,102,105
122,112,69,74
125,102,96,85
93,112,101,85
78,75,90,95
